place_category,ending
populated place,Mechicas
populated place,Mecolalde
populated place,Menagaray
populated place,Mendata
populated place,Mendi
populated place,Mendieta
populated place,Mendijur
populated place,Mendiola
populated place,Mendiondo
populated place,Mendoza
populated place,Mendraca
populated place,Mendívil
populated place,Menor
populated place,Merica
populated place,Mezquía
populated place,Meñaca
populated place,Miguel
populated place,Mijancas
populated place,Mioma
populated place,Miota
populated place,Mondragón
populated place,Monlañan
populated place,Montañán
populated place,Montezcue
populated place,Montoria
populated place,Morgaondo
populated place,Motienzo
populated place,Motrico
populated place,Munaín
populated place,Mundaca
populated place,Murga
populated place,Murguía
populated place,Murlaza
populated place,Murtaza
populated place,Musques
populated place,Musácola
populated place,Mutiloa
populated place,Mutriku
populated place,Muzquiz
populated place,Málzaga
populated place,Mázmela
populated place,Nachitua
populated place,Narea
populated place,Narvaja
populated place,Navardiz
populated place,Navaridas
populated place,Navarrete
populated place,Navárniz
populated place,Nograro
populated place,Nuarbe
populated place,Oba
populated place,Ocamica
populated place,Ocola
populated place,Ocáriz
populated place,Odiaga
populated place,Oiquina
populated place,Olabarri
populated place,Olabe
populated place,Olaeta
populated place,Olagorta
populated place,Olano
populated place,Olarra
populated place,Olavarri
populated place,Olave
populated place,Olazábal
populated place,Olquina
populated place,Olábazar
populated place,Oma
populated place,Ondarra
populated place,Ondárroa
populated place,Ondátegui
populated place,Onraita
populated place,Oquina
populated place,Orbiso
populated place,Orconera
populated place,Ordorica
populated place,Ordoñana
populated place,Orduña
populated place,Oreitia
populated place,Oreja
populated place,Orendain
populated place,Orenín
populated place,Oria
populated place,Ormijana
populated place,Oro
populated place,Ortúzar
populated place,Orózqueta
populated place,Osma
populated place,Otazu
populated place,Otides
populated place,Otzaurte
populated place,Oyardo
populated place,Oyón
populated place,Ozaeta
populated place,Oñate
populated place,Oñatz
populated place,Pasajes
populated place,Paules
populated place,Payueta
populated place,Pedro
populated place,Pelayo
populated place,Peña
populated place,Pinedo
populated place,Pipaón
populated place,Placencia
populated place,Plasencia
populated place,Plaza
populated place,Plencia
populated place,Pobes
populated place,Poveña
populated place,Presa
populated place,Prudencio
populated place,Puerto
populated place,Páganos
populated place,Quejana
populated place,Quintana
populated place,Rabea
populated place,Ranero
populated place,Recalde
populated place,Regato
populated place,Reineta
populated place,Rentaria
populated place,Rentería
populated place,Retana
populated place,Retuerto
populated place,Revilla
populated place,Riba
populated place,Ribera
populated place,Rivas
populated place,Román
populated place,Ríoseco
populated place,Sabando
populated place,Salcedo
populated place,Salinas
populated place,Salmantón
populated place,Salviejo
populated place,Samaniego
populated place,San
populated place,Sangrices
populated place,Santiago
populated place,Santurde
populated place,Saracho
populated place,Sarria
populated place,Sarría
populated place,Saúco
populated place,Sebastián
populated place,Segura
populated place,Sestao
populated place,Sierra
populated place,Sobrón
populated place,Sodupe
populated place,Soena
populated place,Sojo
populated place,Sojoguti
populated place,Solarte
populated place,Sollano
populated place,Sologuren
populated place,Soluanes
populated place,Sopelana
populated place,Sopuerta
populated place,Subijana
populated place,Tellería
populated place,Tertanga
populated place,Toba
populated place,Tobera
populated place,Tolosa
populated place,Torrea
populated place,Totorica
populated place,Tovillas
populated place,Treto
populated place,Triano
populated place,Trobica
populated place,Turiso
populated place,Ucharaín
populated place,Udala
populated place,Ugarana
populated place,Ugarte
populated place,Ugarán
populated place,Uncella
populated place,Urabaín
populated place,Urarte
populated place,Urbi
populated place,Urbina
populated place,Urdúliz
populated place,Urgoiti
populated place,Uribarri
populated place,Uribe
populated place,Urigoiti
populated place,Uriondo
populated place,Urivarri
populated place,Urizar
populated place,Urnieta
populated place,Urquizaur
populated place,Urquizu
populated place,Urrucundu
populated place,Urrutia
populated place,Urréjola
populated place,Urrúnaga
populated place,Ursuarán
populated place,Urteta
populated place,Urtupiña
populated place,Usparicha
populated place,Ustara
populated place,Usánsolo
populated place,Usúrbil
populated place,Uzarraga
populated place,Valle
populated place,Valluerca
populated place,Valmaseda
populated place,Valnera
populated place,Vedia
populated place,Verano
populated place,Vergara
populated place,Vicente
populated place,Vicuñá
populated place,Vidania
populated place,Vildósola
populated place,Villabaso
populated place,Villabona
populated place,Villanañe
populated place,Villaro
populated place,Villodas
populated place,Virular
populated place,Vitaño
populated place,Viteri
populated place,Vitoria
populated place,Vitoriano
populated place,Viña
populated place,Viñaspre
populated place,Vìllafría
populated place,Yurre
populated place,Yécora
populated place,Zaballa
populated place,Zabalíbar
populated place,Zabola
populated place,Zaldívar
populated place,Zalla
populated place,Zaloa
populated place,Zamudia
populated place,Zamudio
populated place,Zaramillo
populated place,Zarautz
populated place,Zarauz
populated place,Zarikola
populated place,Zarimuz
populated place,Zarra
populated place,Zarátamo
populated place,Zelay
populated place,Zollo
populated place,Zorroza
populated place,Zuaza
populated place,Zuazo
populated place,Zubero
populated place,Zubialdea
populated place,Zubianu
populated place,Zubiate
populated place,Zubiaur
populated place,Zubieta
populated place,Zubillaga
populated place,Zuloagas
populated place,Zumaia
populated place,Zumaya
populated place,Zumelzu
populated place,Zumárraga
populated place,Zurbano
populated place,Zuya
populated place,Záitegui
populated place,Zárate
populated place,a-Alegre
populated place,a-Ausonia
populated place,a-Ausuna
populated place,a-Jemein
