name,industry
COPRI CONSTRUCTION ENTERPRISES,INDUSTRIALS
SORI-AL SHPK,NOT RELEVANT
ENDI SHPK,CONSUMER DISCRETIONARY
BALKAN SPORT SHPK,CONSUMER DISCRETIONARY
AGI KONS SHPK,INDUSTRIALS
CONTINENTAL GROUP SHA,CONSUMER DISCRETIONARY
EL-PROM SHPK,INDUSTRIALS
VIZION OPTIKA SHPK,CONSUMER DISCRETIONARY
KEAD SHPK,INDUSTRIALS
PELIKANI SECURITY SHPK,INDUSTRIALS
ORBICO SHPK,CONSUMER STAPLES
PORTI DETAR SHENGJIN SHA,INDUSTRIALS
SUBGROUP INFOSOFT,CONSUMER DISCRETIONARY
ARREDO FAB STUDIO SHPK,INDUSTRIALS
GROUP PRONATYRA TREG shpk,CONSUMER STAPLES
CHICKEN FARM ALBANIA SHPK,CONSUMER STAPLES
BRAKA SHPK,CONSUMER DISCRETIONARY
WOLT ALBANIA SHPK,CONSUMER DISCRETIONARY
REJ SHPK,INDUSTRIALS
LESNA SHPK,MATERIALS
DUPI-FRUT SHPK,CONSUMER STAPLES
BAMI HOLDING SHPK,INDUSTRIALS
GROUP ALBANIA DRINK DISTRIBUTION,CONSUMER STAPLES
ILAR SHPK,MATERIALS
H.L.-GROUP SHPK,CONSUMER DISCRETIONARY
M&M MEDICAL SHPK,HEALTH CARE
ITX ALBANIA SHPK,CONSUMER DISCRETIONARY
COCA-COLA BOTTLING SHQIPERIA SHPK,CONSUMER STAPLES
ALB-STAR SHPK,INDUSTRIALS
ALBAS SHPK,COMMUNICATIONS
DBS GROUP SHPK,CONSUMER DISCRETIONARY
BESNIKU SHPK,CONSUMER STAPLES
RED 1999,INDUSTRIALS
MUMJA SHPK,NOT RELEVANT
KURUM DEMIR SAN VE DIS TIC AS,INDUSTRIALS
LUAN,CONSUMER DISCRETIONARY
INFRAKONSULT SHPK,INDUSTRIALS
GJOKA 87 SHPK,INDUSTRIALS
KUPA SHPK,INDUSTRIALS
PUBLIX SHPK,CONSUMER DISCRETIONARY
AUTO FRANCE LUBRICANTS SHA,CONSUMER DISCRETIONARY
PHARMA ONE SHPK,HEALTH CARE
KELVIS SHPK,INDUSTRIALS
KING MEAT.CO - SHPK,CONSUMER STAPLES
BILLA HOME SHPK,CONSUMER DISCRETIONARY
H ALBANIA RETAIL SHPK,CONSUMER DISCRETIONARY
ULDEDAJ LIS SHPK,INDUSTRIALS
REVER INVESTMENT AND DEV.E THJESHTE,INDUSTRIALS
NEW CENTURY SHPK,CONSUMER STAPLES
ADI SHPK,CONSUMER DISCRETIONARY
OPERATORI SISTEMIT TRANSMETIMIT OST,UTILITIES
Victoria Invest International shpk,INDUSTRIALS
GSM KLIMAIRE SHPK,INDUSTRIALS
BIOMAR SHA,CONSUMER STAPLES
GROUP PAM PLAST ,CONSUMER DISCRETIONARY
SKRAP 2007 SHPK,INDUSTRIALS
VEGA CHARGING SHPK,CONSUMER DISCRETIONARY
CAVALIERE SHPK,CONSUMER STAPLES
TRANSALBANIA SHPK,INDUSTRIALS
MEDIA 66 SHPK,CONSUMER DISCRETIONARY
SINA 98 SHPK,NOT RELEVANT
ORA PETROL SHPK,ENERGY
BLU-IMPERIAL SHPK,CONSUMER STAPLES
EUROPETROL TRANS SHPK,ENERGY
EMANTE PANEL SHPK,INDUSTRIALS
BERDICA CEMENT SHA,INDUSTRIALS
ALBA SHA,ENERGY
ALBAN.INSTITUTE OF INTER. AUDITORS,INDUSTRIALS
ART AND TOURISM DEVELOPMENT GROUP,CONSUMER DISCRETIONARY
IMPULS-95 SHA,CONSUMER DISCRETIONARY
INTERMED SHPK,HEALTH CARE
AL-BASALT SHPK,MATERIALS
SOFRA E ARIUT SHPK,CONSUMER DISCRETIONARY
AUTOVISION SHA,CONSUMER DISCRETIONARY
FRIGO ALBA SHPK,CONSUMER STAPLES
MEKTRIN MOTORS SHPK,CONSUMER DISCRETIONARY
AFA RENT A CAR SHPK,INDUSTRIALS
INTEROPTIK SHPK,INDUSTRIALS
North Star Mining shpk,MATERIALS
ALBAT RECYCLING SHPK,MATERIALS
GROUP GEGA,ENERGY
AMR SHPK,CONSUMER DISCRETIONARY
FEDOS SHPK,HEALTH CARE
GROUP ALBANIAN SMART DISTRIBUT,CONSUMER STAPLES
CRILU SHPK,CONSUMER STAPLES
EUROPA RE LTD-ZYRE PERFAQESIMI,FINANCIALS
ALBANIAN DISTRIBUTION & DEVELOPMENT,CONSUMER STAPLES
UNICO CONSTRUCTION SHPK,REAL ESTATE
KLAR SHPK,REAL ESTATE
ENER TRADE SHPK,UTILITIES
Group Kevin - Gaz,ENERGY
SKY NET LOGISTIC SHPK,INDUSTRIALS
ALBAMER SHPK,MATERIALS
DEA SHIPPING SHPK,FINANCIALS
GEGA CENTER GKG SHPK,CONSUMER DISCRETIONARY
5D KONSTRUKSION SHPK,INDUSTRIALS
ITD SHPK,CONSUMER DISCRETIONARY
HIDRO INVEST SHPK,NOT RELEVANT
EURO STEL SHPK,NOT RELEVANT
RAFAELO RESORT SHPK,CONSUMER DISCRETIONARY
GROUP FABRIKA E PASURIMIT,MATERIALS
KLODI SH.A,ENERGY
MARINA BAY SHPK,CONSUMER DISCRETIONARY
GROUP NARDI PETROL SHA,ENERGY
TIRANA ENTRY BUSINESS CENTER SHPK,CONSUMER DISCRETIONARY
Moreone Shpk,INFORMATION TECHNOLOGY
Alesio-2014 shpk,MATERIALS
PETROLIMPEX SHA,ENERGY
A-E-1,CONSUMER STAPLES
2AT CONSTRUCTION SHPK,INDUSTRIALS
TOBACCO HOLDING GROUP SHPK KOSOVO,CONSUMER STAPLES
EUROCOL-SERVICE SHPK,INDUSTRIALS
ITE ENGINEERING SHPK,INDUSTRIALS
FUSHA SHPK,INDUSTRIALS
NENE TEREZA,NOT RELEVANT
Aren 2003 shpk,MATERIALS
C.A.E. SHPK,INDUSTRIALS
BRISEL,MATERIALS
ORA SHA,COMMUNICATIONS
VANTO HOME SHPK,CONSUMER DISCRETIONARY
HOTEL COLOMBO BERAT SHPK,CONSUMER DISCRETIONARY
BRITISH AMERICAN TOBACCO ALBANIA SH,CONSUMER STAPLES
BEATA SHPK,CONSUMER STAPLES
LANI SHPK,CONSUMER DISCRETIONARY
DODAJ SHPK,INDUSTRIALS
