name,industry
VÝROBNÍ ZEMEDELSKÉ DRUZSTVO HLUCÍN,CONSUMER STAPLES
NAVOS A S,CONSUMER STAPLES
Atos Czech Republic s.r.o.,INFORMATION TECHNOLOGY
tibiQ GO SE,CONSUMER DISCRETIONARY
UNICA PRAGUE S R O,HEALTH CARE
SVJ Caslavska c.p. 1750,REAL ESTATE
SENIOR PROPERTIES PÍSEK S.R.O.,HEALTH CARE
JISA ESTATES S R O,CONSUMER DISCRETIONARY
KRASSA 2015 S R O,CONSUMER DISCRETIONARY
AR SERVIS s.r.o.,CONSUMER DISCRETIONARY
WESTFALIA METAL S.R.O.,MATERIALS
UFI FILTERS CZECH S R O,CONSUMER DISCRETIONARY
T-SOFT A. S.,INFORMATION TECHNOLOGY
PZP HEATING A S,UTILITIES
AGRA GROUP A S,MATERIALS
ZLINSTAV A S,INDUSTRIALS
CEZNET s.r.o.,COMMUNICATIONS
"GROLMAN, s.r.o.",INDUSTRIALS
"SV Svazna 393/1, Brno",REAL ESTATE
FAVEA A S,HEALTH CARE
BD Podnadrazni 367/4,REAL ESTATE
LUKROM SPOL S R O,NOT RELEVANT
FORLIT METAL A S,MATERIALS
"SVJ domu 435-437, Rudnik",REAL ESTATE
BD Mirosovicka 8 a 10,REAL ESTATE
GESTAMP LOUNY S R O,CONSUMER DISCRETIONARY
HANWHA ADVANCED MATERIALS EUROPE S,CONSUMER DISCRETIONARY
DYAS ENERGY S R O,MATERIALS
KORDCARBON A S,CONSUMER DISCRETIONARY
OVERKILL UNO S R O,INFORMATION TECHNOLOGY
APEX ENTERPRISE S R O,CONSUMER DISCRETIONARY
SUBGROUP MOCCA CHOCOLAND CONSOLIDAT,CONSUMER STAPLES
STROM PRAHA A S,INDUSTRIALS
ESCO OAK SAWMILL S R O,INDUSTRIALS
BD Jirsikova 4,REAL ESTATE
SD ESTATE S.R.O.,NOT RELEVANT
ERBA LACHEMA S R O,HEALTH CARE
HEEL A.S.,CONSUMER STAPLES
Transport line Locomotive s.r.o.,INDUSTRIALS
BK TRANSIT A.S. V LIKVIDACI,CONSUMER DISCRETIONARY
"MORA VOSTOK, s.r.o.",NOT RELEVANT
UNIVERZITA PALACKEHO V OLOMOUCI,NOT RELEVANT
ARANEA GROUP A S,INFORMATION TECHNOLOGY
RADON PAVEL,NOT RELEVANT
BALBY S.R.O. V LIKVIDACI,FINANCIALS
STOPLOVA LUCIE,NOT RELEVANT
T M T SPOL. S R.O.,NOT RELEVANT
GROUP KOH-I-NOOR HOLDING,INDUSTRIALS
STARSTAV S.R.O.,NOT RELEVANT
BD POD CILINOU,REAL ESTATE
Group Services Industriels de Genev,UTILITIES
JET 2 ALFA S R O,INDUSTRIALS
PERFECT TOUR SRL ORGANIZACNI SLOZKA,CONSUMER DISCRETIONARY
K24 International s . r. o.,INFORMATION TECHNOLOGY
PLT DEVELOPMENT 4 A S,REAL ESTATE
SPV NOVY PONEC S R O,INDUSTRIALS
Makostav servis Znojmo s.r.o.,INDUSTRIALS
SV U Stadionu 983,REAL ESTATE
SVJ Skarabelova 560-561,REAL ESTATE
KARLA SPOL S R O,MATERIALS
RUBIK MARTIN,NOT RELEVANT
KLAS NEKOR A S,INDUSTRIALS
SYGNUM IMMO S R O,REAL ESTATE
SK SIGMA OLOMOUC A S,COMMUNICATIONS
ELECTRON C P TREASURY S R O,FINANCIALS
TISKARNA POLYGRAF S R O,INDUSTRIALS
COM MEDIA S R O,COMMUNICATIONS
