name,place_category,frequency
Héðinsvík,concave shoreline,1
Hítarvatn,basin,1
Hítará,stream,1
Hólanes,populated place,1
Hólar,populated place,2
Hólavötn,basin,1
Hóll,populated place,2
Hólmabæir,populated place,1
Hólmahverfi,populated place,1
Hólmanes,convex shoreline,1
Hólmar,elevation,1
Hólmatindur,elevation,1
Hólmavatnsá,stream,1
Hólmavík,populated place,1
Hólmaá,stream,1
Hólmi,elevation,1
Hólmlátursvötn,basin,1
Hólmsárlón,basin,1
Hólmur,elevation,1
Hólmvatn,basin,1
Hólsnef,convex shoreline,1
Hólsnes,convex shoreline,1
Hólsselsmelar,area,1
Hólsvík,concave shoreline,1
Hólsá,stream,5
Höfn,populated place,1
Höfðabót,concave shoreline,1
Höfðahverfi,populated place,1
Höfðakaupstaður,populated place,1
Höfðaströnd,populated place,1
Höfði,populated place,1
Hökulvík,concave shoreline,1
Hölkná,stream,6
Hörfinnsey,island,1
Hörgshlíðarfjall,elevation,1
Hörgshólsá,stream,1
Hörgsá,stream,1
Hörgárgrunn,underwater elevation,1
Hörsvík,concave shoreline,1
Hörsvíkurboði,elevation,1
Hörtná,stream,1
Hörðudalsá,stream,1
Höskuldsey,island,1
Höskuldsstaðir,populated place,1
Höskuldsvatn,basin,1
Höskuldsvatnshnúkur,elevation,1
Húkslækur,stream,1
Húna,concave shoreline,1
Húnaflói,concave shoreline,1
Húnavatn,basin,1
Húnaós,basin,1
Húsadalstindur,elevation,1
Húsavík,populated place,3
Húsaá,stream,1
Húsey,island,2
Húshólsfell,elevation,1
Húsá,stream,3
Húsárfjall,elevation,1
Húsárkvíslar,stream,1
Illagil,depression,3
Illilækur,stream,1
Illiskurður,depression,1
Illugastaðir,populated place,1
