name,place_category,frequency
Kolponniemi,convex shoreline,2
Kolukorpi,marsh,2
Kolunkallio,elevation,4
Kolunkulma,populated place,6
Kolunperä,populated place,2
Kolunpuro,populated place,2
Kolvaa,populated place,2
Komanteenoja,stream,2
Kommerkylä,populated place,2
Kompakka,populated place,2
Kompinlahti,basin,2
Koninkorpi,marsh,2
Konkansaari,island,2
Konkelonjoki,stream,2
Konkkerinmäki,populated place,2
Konttaisennoro,depression,2
Kontti,populated place,2
Konttisuo,marsh,28
Kontu Perlukkalampi,basin,2
Kopisto,populated place,2
Kopolanniemi,populated place,2
Koppalainen,populated place,2
Koppasuo,marsh,4
Koppelo,convex shoreline,2
Kopsunlampi,basin,2
Koramoniemi,populated place,2
Koranushauta,stream,2
Korenninoja,stream,2
Korhonsaari,island,2
Korja,populated place,2
Korjankylä,populated place,2
Korjärvi,populated place,2
Korkeaperä,populated place,2
Korkianluodonkari,island,2
Korkinmäki,populated place,4
Kormuntinnotko,depression,2
Kornjärvi,populated place,2
Korolinvaara,elevation,2
Korosmäki,elevation,2
Korpi Matti,populated place,2
Korpilampi,basin,52
Korpilääni,populated place,2
Korpiperä,populated place,4
Korpisensuo,marsh,4
Korppistenaukko,strait,2
Korppoon Kunta,populated place,2
Korpula,populated place,2
Korshället,elevation,4
Korssiluoto,island,2
Kortejärvi,basin,2
Kortekaarre,stream,2
Kortekuru,marsh,3
Kortepoukama,populated place,2
Kortesjärvi,basin,6
Kortteikonniemi,convex shoreline,4
Kortteisperä,populated place,2
Korvenkaupunki,populated place,2
Korvenlaita,populated place,2
Koshkisjävri,basin,2
Koskenniemi,populated place,6
Koskensaari,island,18
Koskimaa,populated place,2
Koskisaaret,island,2
Koskisenkylä,populated place,2
Koskisto,populated place,2
Koskuankulma,populated place,2
Koskâjävri,basin,2
Kossinniemi,convex shoreline,2
Kosulanlampi,basin,2
Kotalahdenniittu,marsh,1
Kotamäki,populated place,12
Kotaperä,populated place,4
Kotikangas,elevation,12
Kotiniemi,populated place,2
Kotisaari,elevation,4
Kotkansaaret,island,2
Kotojärvi,basin,2
Koukiräme,marsh,1
Koukkupommi,stream,2
Kourulehto,populated place,2
Kovalahdenvuori,elevation,2
Kovavaara,populated place,2
Kovelo,basin,2
Koverhauta,stream,2
Krapa,island,2
Kruununkari,island,2
Kränäkallio,elevation,2
Kuikka,basin,2
Kuikkakallio,island,2
Kuivajärvenvaara,elevation,4
Kuivakarit,island,2
Kuivala,populated place,6
Kuivalahti,basin,10
Kuivanen,populated place,6
Kukkarojänkä,marsh,2
Kukkarot,island,2
Kukkosaari,convex shoreline,2
Kukkupää,populated place,2
Kukkurasaari,island,8
Kukkurrimpi,marsh,2
Kulasjoenlampi,basin,2
Kulaslahti,concave shoreline,2
Kullan,populated place,2
Kullanmukka,stream,2
Kullarannankallio,elevation,2
Kullö,island,2
Kulmamäki,elevation,2
Kuloniemenkärki,convex shoreline,2
Kulopalonkangas,elevation,6
Kultima,populated place,2
Kumbla,island,2
Kummeliniemi,convex shoreline,10
Kummelluoto,elevation,6
Kumpulampi,populated place,2
Kumpuselkä,populated place,2
Kuninkaala,populated place,2
Kunniavuori,elevation,4
Kunninluoto,island,2
Kuntijoki,stream,2
Kunttula,populated place,2
Kuohunniemi,convex shoreline,2
Kuohusuo,marsh,2
Kuojoki,stream,2
Kuokimajärvi,basin,2
Kuokkastenkoski,populated place,2
Kuokunkeidas,marsh,2
Kuolinniemi,convex shoreline,2
Kuoliovaara,populated place,2
Kuomanlahti,concave shoreline,2
Kuoreniemi,populated place,2
Kuorsumaa,populated place,2
