CUSTOMER NAME,COUNTRY OF RISK,GICS_NAME_P
YUZHNAYA RISOVAYA KOMPANIYA,RU,CONSUMER STAPLES
"EMOS INVEST, s. r. o.",SK,REAL ESTATE
TASTROM 2 SRL,RO,MATERIALS
"SVJ Drevnicka 4126, Zlin",CZ,REAL ESTATE
KUBANAVTOMOST OOO,RU,INDUSTRIALS
JSC SMC VSEVOLOZHSK,RU,MATERIALS
COLL-PLUS NEKRETNINE DOO BEOGRAD -,RS,FINANCIALS
JOIN-STOCK COMPANY RUDOAVTOMATIKA,RU,INDUSTRIALS
"Meszaros Gabriel, Mgr.",SK,NOT RELEVANT
SV pro dum A.Hrdlicky 1637,CZ,REAL ESTATE
POBEDA LLC,RU,CONSUMER STAPLES
GM EUROPE TREASURY COMPANY AB,SE,CONSUMER DISCRETIONARY
"TOV ""Varmbud""",UA,INDUSTRIALS
DunaPro Business Korlátolt Felelõss,HU,MATERIALS
DunaSweet Wellness Kereskedelmi Kor,HU,CONSUMER DISCRETIONARY
Geotermikus Szolgáltató Kft.,HU,UTILITIES
BRAJLOVIC GMBH,AT,CONSUMER STAPLES
ZENTIS FRUCHTWELT GMBH & CO. KG,DE,CONSUMER STAPLES
OOO PRIANGARSKIY LPK,RU,MATERIALS
GROUP PO LENSTROYMATERIALY,RU,MATERIALS
NOBEL CO OOO,RU,ENERGY
ZAT Banh i Bonsomer,UA,MATERIALS
KUBANGRUZSERVIS OOO,RU,INDUSTRIALS
TTTECH AUTO DOO,RS,INDUSTRIALS
FAKULTET ZA USLUZNI BIZNIS SREMSKA,RS,CONSUMER DISCRETIONARY
PJSC QUADRA - POWER GENERATION,RU,UTILITIES
KOMANDOR TN LTD,RU,CONSUMER STAPLES
UNITED SHIPPING SERVICES ONE INC,LR,INDUSTRIALS
AGROCREDIT s.r.o.,SK,CONSUMER STAPLES
BAWAG LEASING FLEET S R O,CZ,INDUSTRIALS
GROUP Bitumiks,RU,MATERIALS
Hungaro-Orient Gold Zrt.,HU,CONSUMER STAPLES
HELINICK SRL,RO,INDUSTRIALS
B C S R Advisory a.s.,SK,INDUSTRIALS
TCE ADMINISTRATIV S.R.L,RO,INDUSTRIALS
EVN-EKOTECHPROM MSZ 3 OOO,RU,NOT RELEVANT
ROSENBERG RUS LLC,RU,INDUSTRIALS
SOOO ALYUMINTEKHNO,BY,INDUSTRIALS
Zalaerdõ Erdészeti Zrt.,HU,MATERIALS
ERB invest s.r.o.,CZ,MATERIALS
MBB a.s.,SK,REAL ESTATE
K.P.F. s.r.o.,SK,CONSUMER STAPLES
NATURA VITA  DOO TESLIC,BA,CONSUMER STAPLES
Asklepios Kliniken GmbH & Co.,DE,HEALTH CARE
"TOV ""Frans Avtomotiv""",UA,CONSUMER DISCRETIONARY
Cord Blood Center AT GmbH,AT,HEALTH CARE
GROUP FASKO,RU,CONSUMER DISCRETIONARY
PLANETA AVTO OOO,RU,CONSUMER DISCRETIONARY
"Schwarzova Marieta, Ing.",SK,REAL ESTATE
HEP - UPRAVLJANJE IMOVINOM D.O.O.,HR,UTILITIES
ACIMODA S.R.L.,RO,CONSUMER DISCRETIONARY
Ecolab Inc.,US,MATERIALS
ROTH Handel & Bauhandwerkerservice,AT,CONSUMER DISCRETIONARY
"RELAX 2000, spol. s r.o.",SK,INDUSTRIALS
Bohn-Gép Korlátolt Felelõsségû Társ,HU,INDUSTRIALS
SECTOR ADS DOO,BA,INFORMATION TECHNOLOGY
"Helios Software Holdings, Inc.",IE,INFORMATION TECHNOLOGY
"AVIANA PLUS, s.r.o.",SK,CONSUMER DISCRETIONARY
"STM POWER Trading, s. r. o.",SK,INDUSTRIALS
FAULHABER MOTORS ROMANIA SRL,DE,INDUSTRIALS
SOIV TRANS EXPRESS SRL,RO,INDUSTRIALS
"HSH Chemie, s.r.o., OZ",SK,MATERIALS
TEKNOXGROUP SRBIJA DOO BEOGRAD,RS,INDUSTRIALS
PRIMALL SHPK,AL,CONSUMER DISCRETIONARY
MRT-EYKSPERT SURGUT OOO,RU,HEALTH CARE
JSC REMMA international,RU,INDUSTRIALS
INTEGRAL SA,RO,INDUSTRIALS
SV Strelecky vrch 672 a 673,CZ,REAL ESTATE
METRO Cash & Carry SR s. r. o.,SK,CONSUMER STAPLES
ITTS IUS OOO,RU,INFORMATION TECHNOLOGY
"EDS Internarn. SK, s. r. o. v lik.",SK,UTILITIES
"MARASKA D.D.,ZADAR",HR,CONSUMER STAPLES
KURTA CZ s.r.o.,CZ,CONSUMER DISCRETIONARY
Reutter GmbH,DE,CONSUMER DISCRETIONARY
SVIJET MEDIJA D O O,HR,CONSUMER DISCRETIONARY
GAME STUDIO KFT,HU,CONSUMER DISCRETIONARY
The Carphone Warehouse Limited,GB,CONSUMER DISCRETIONARY
KANSKY distribution a.s.,SK,CONSUMER DISCRETIONARY
LOCUSTA OPUS D.O.O.,HR,FINANCIALS
Subgroup TenCate,NL,INDUSTRIALS
"AKE Skalica, s.r.o.",SK,INDUSTRIALS
ÖSW Wohnbauvereinigung Gemeinn.,AT,REAL ESTATE
"PP ""O.L.KAR-AhroZooVet-Servis""",UA,HEALTH CARE
"TOV ""Solonytske""",UA,CONSUMER STAPLES
CRIPPACAMPEGGIO D.O.O.,HR,REAL ESTATE
Palfinger Iberica,ES,INDUSTRIALS
Partner in Pet Food NL B.V.,NL,CONSUMER STAPLES
Raststätten Betriebs GmbH,AT,REAL ESTATE
BADOTHERM AMC SA,NL,INDUSTRIALS
ADI GAZ 2014 SHPK,AL,CONSUMER DISCRETIONARY
BOSPOL DOO SARAJEVO,BA,CONSUMER DISCRETIONARY
TESLA BLATNA A S,DE,INDUSTRIALS
SPOLCHEMIE ZEBRA A S,CZ,MATERIALS
"Székesfehérvár, Ligetsor 7-8-9. Tár",HU,REAL ESTATE
GROUP FILDAS,RO,HEALTH CARE
EMS SHIPPING&TRADING GMBH,DE,INDUSTRIALS
Group OPmobility,FR,CONSUMER DISCRETIONARY
"ROEZ, s.r.o.",SK,INDUSTRIALS
SUBGROUP IM MATIJEVIC,RS,CONSUMER STAPLES
BEMIS DOO LUKAVAC,BA,CONSUMER DISCRETIONARY
Székesfehérvár Prohászka Ottokár út,HU,REAL ESTATE
ECCO Retail (Slovakia) s. r. o.,SK,CONSUMER DISCRETIONARY
NN COMPANY DOO ZENICA,BA,MATERIALS
KORIR PROGRESS Építõipari és Szolgá,HU,INDUSTRIALS
SELGEN A S,CZ,CONSUMER STAPLES
VELLEZERIT HYSA SHPK,AL,INDUSTRIALS
EYKSPOTREID OOO,RU,INDUSTRIALS
RUBEZH LLC,RU,INFORMATION TECHNOLOGY
SVJ Kastanek,CZ,REAL ESTATE
Kontinental LTD,RU,INDUSTRIALS
A & D DOO SARAJEVO ,BA,INDUSTRIALS
SCHINDLER SPOL S R O,CZ,CONSUMER DISCRETIONARY
SV Jezkova 10,CZ,REAL ESTATE
RK-ÉP Korlátolt Felelõsségû Társasá,HU,INDUSTRIALS
GRUPA VERN D.O.O.,HR,CONSUMER DISCRETIONARY
LANDWAYS INTERNATIONAL SHPK,AL,CONSUMER DISCRETIONARY
DCM LLC,RU,INDUSTRIALS
IMROGLASS SRL,RO,CONSUMER DISCRETIONARY
"VOLARIK CAPITAL, A.S.",CZ,INDUSTRIALS
PP KARTAL PRO,UA,MATERIALS
GARLAND DISTRIBUTOR S R O,CZ,CONSUMER DISCRETIONARY
"SVJ Lidicka 239, Horsovsky Tyn",CZ,REAL ESTATE
SBD Turnov,CZ,REAL ESTATE
JUNGHEINRICH Hungária Fejlesztési é,HU,INDUSTRIALS
AGROFINA SISTEM DOO CACAK,RS,CONSUMER STAPLES
PRILLINGER SPOL S R O,CZ,INDUSTRIALS
SVJ Za stadionem 2339-2346,CZ,REAL ESTATE
GENDAV GASOIL SRL,RO,ENERGY
MARAGRO SRL,RO,CONSUMER STAPLES
JSC Ilim Group,RU,MATERIALS
"GRAM KOSICE, s.r.o.",SK,CONSUMER STAPLES
SUNRISE TOURS SRL,RO,REAL ESTATE
Thor Industries Inc.,US,CONSUMER DISCRETIONARY
Circet Kabel Service GmbH,DE,COMMUNICATIONS
GROUP BRAKA,AL,ENERGY
Hornbach Immobilien SK - BW s.r.o.,SK,CONSUMER DISCRETIONARY
Meinhardt Städtereinigung GmbH & Co,DE,INDUSTRIALS
BEOGUMA DOO BEOGRAD,RS,CONSUMER DISCRETIONARY
BayWa r.e. Solar Systems SAS,FR,UTILITIES
NPF Adhesiv Ltd,RU,INDUSTRIALS
GD TAMNAVA TRANS DOO BEOGRAD,RS,INDUSTRIALS
SMART BUSINESS TECHNOLOGIES,RS,INFORMATION TECHNOLOGY
SUBGROUP VEOLIA CR CONSOLIDATED,CZ,UTILITIES
EUROPE METAL TRADE SRL,RO,INDUSTRIALS
Somfai Róbert,HU,NOT RELEVANT
VALDI MEDICA SRL,RO,HEALTH CARE
Bellaria Privatstiftung,AT,REAL ESTATE
VAR D.O.O,HR,INDUSTRIALS
"SVJ Studentska 2472,2473",CZ,REAL ESTATE
ORA SKY D.O.O.,HR,REAL ESTATE
"AS ""Kalceks""",LV,HEALTH CARE
Montagen für Tischlereiprodukte Ges,AT,INDUSTRIALS
VMED O2 UK Holdco 5 Limited,GB,COMMUNICATIONS
ZALAKERÁMIA ZRT.,HU,INDUSTRIALS
Land Niederösterreich Finanz- und B,AT,INDUSTRIALS
FAVOR-TRANS Nemzetközi Szállítmányo,HU,INDUSTRIALS
"Nagy Gregor, Ing.",SK,INDUSTRIALS
TK ISTOK PLYUS OOO,RU,CONSUMER STAPLES
Holicky Radovan,SK,INDUSTRIALS
GROUP GBTS,RU,MATERIALS
GROUP Slavcoffee,RU,CONSUMER STAPLES
Almalyk Mining and Metallurgic,UZ,MATERIALS
SUBGROUP ALLWYN GROUP CONSOLIDATED,CZ,CONSUMER DISCRETIONARY
MINERAL AND CHEMICAL COMPANY EUROCH,RU,MATERIALS
Umcor AG,CH,MATERIALS
ABNER A S,CZ,INDUSTRIALS
BRUSNIKA. STROITEL'STVO I DEVELOP,RU,REAL ESTATE
"SI REAL, s. r. o.",SK,HEALTH CARE
UNK project LLC,RU,INDUSTRIALS
SAPLAST DOO SARAJEVO,FR,INDUSTRIALS
Remus Innovation GmbH,AT,CONSUMER DISCRETIONARY
SVJ pro dum Machova 1656-1658,CZ,REAL ESTATE
PHOENIX Zdravotnicke zasobovanie,SK,HEALTH CARE
UNDA Grundstückvermietungs Gesellsc,AT,REAL ESTATE
CESTE D.D.,HR,INDUSTRIALS
Lechtaler Bergbahnen GmbH & Co KG,AT,CONSUMER DISCRETIONARY
LLC ANsystems,RU,INFORMATION TECHNOLOGY
Vita BidCo SARL,NL,INDUSTRIALS
Schill Dental Services s.r.o.,SK,HEALTH CARE
TO-KA-BU D.O.O.,HR,INDUSTRIALS
"TOV ""Novi Produkty Ukrainy""",UA,CONSUMER STAPLES
URALPROMSTROI OOO,RU,INDUSTRIALS
TEHNOGRAD COMPANY DOO TUZLA,BA,INDUSTRIALS
K WAY BEAUTY,RS,CONSUMER DISCRETIONARY
INHOLD VAGYONKEZELÕ ÉS BEFEKTETÕ RT,HU,NOT RELEVANT
MEGA-SPED SZOLGÁLTATÓ ÉS KERESKEDEL,HU,NOT RELEVANT
MEDIA DIRECTION D.O.O.,HR,NOT RELEVANT
PATRIAPLAST S R L,RO,NOT RELEVANT
UNISYS MAGYARORSZÁG KFT.,HU,NOT RELEVANT
DZERVIN,RS,CONSUMER STAPLES
BRIJUNI RIVIJERA D. O. O.,HR,REAL ESTATE
"BD Stankova 10a, Brno",CZ,REAL ESTATE
KLINICKI BOLNICKI CENTAR OSIJEK,HR,NOT RELEVANT
STIV D.O.O.,HR,NOT RELEVANT
EURO-ECOLOGIC SRL,RO,INDUSTRIALS
JOINT-STOCK COMPANY VOSTOKTEKHTOR,RU,INDUSTRIALS
AMBER STUDIO SA,RO,COMMUNICATIONS
REK Beteiligungs GmbH,AT,CONSUMER DISCRETIONARY
Group ALSO,DE,INFORMATION TECHNOLOGY
808796,RU,NOT RELEVANT
YASHANOV DMYTRO GENNADIYOVYCH,UA,NOT RELEVANT
ART SOVREMENNYE NAUCHNYE TEKHNOLO,RU,CONSUMER STAPLES
GROUP PHARMECO,RU,HEALTH CARE
ACCORDING GROUP SRL,RO,INDUSTRIALS
SUBGROUP STAR IMPORT,RS,CONSUMER DISCRETIONARY
ROMANIAN PETROLEUM SRL,RO,INDUSTRIALS
PKF METPROM-URAL OOO,RU,INDUSTRIALS
LLC URIEL AGRO,RU,CONSUMER STAPLES
"FRUTA PODIVÍN, A.S.",CZ,CONSUMER STAPLES
Bravosolar Korlátolt Felelõsségû Tá,HU,UTILITIES
NAVIGARE YACHTING D.O.O.,HR,CONSUMER DISCRETIONARY
GROUP Barskyi Mashynobudivnyi,UA,INDUSTRIALS
SPAR Finanz Service Ges.m.b.H.,AT,CONSUMER STAPLES
"SWAN PK, s. r. o.",SK,COMMUNICATIONS
Wintershall Dea Norge AS,NO,ENERGY
FIORÁCS Mezõgazdasági Termékelõállí,HU,CONSUMER STAPLES
KOVA D.O.O.,HR,INDUSTRIALS
Group Finarvedi SpA,IT,MATERIALS
SOCIETE EUROPEENNE DE VEHICULES LEG,FR,CONSUMER DISCRETIONARY
OPTIKSERVIS OOO,RU,HEALTH CARE
Szolnok Várkonyi István tér 11-12-1,HU,REAL ESTATE
Subgroup SHV Energy NV,NL,ENERGY
"DIAKOL STRAZSKE, s.r.o.",SK,MATERIALS
VIRTUOZ USLUGE D.O.O.,HR,CONSUMER DISCRETIONARY
"TOV "" AGROFIRMA ""PISCHANS'KA""",UA,CONSUMER STAPLES
SALADIN GAS SRL,RO,CONSUMER DISCRETIONARY
Heidelberger Druckmaschinen Austria,AT,INDUSTRIALS
Suncor Energy Inc,CA,ENERGY
Google Ireland Limited,IE,COMMUNICATIONS
KECLOVA LENKA,CZ,NOT RELEVANT
UNIVERSAL MED SERVIS OOO,RU,HEALTH CARE
Inter-S Group,RU,HEALTH CARE
BLACKCAB SYSTEMS SRL,RO,INFORMATION TECHNOLOGY
NOVA BH D.O.O. SARAJEVO ,BA,COMMUNICATIONS
Vlkolia s.r.o.,SK,HEALTH CARE
G ENGLMAYER SPEDITION GMBH,AT,INDUSTRIALS
Q DRIVE D.O.O. SARAJEVO       ,BA,INDUSTRIALS
L.L.C. TD Iceberry,RU,CONSUMER STAPLES
GROUP GALAX,BA,MATERIALS
Koroza Korlátolt Felelõsségû Társas,HU,REAL ESTATE
MICOM BH DOO SARAJEVO,BA,INFORMATION TECHNOLOGY
"JOMA Slovakia, spol. s r.o.",SK,INDUSTRIALS
"MO Fin, s.r.o.",SK,CONSUMER STAPLES
OOO ESTETIKA POSUDY,RU,CONSUMER DISCRETIONARY
IIH a. s.,SK,INDUSTRIALS
Maschinenring Salzburg registrierte,AT,CONSUMER DISCRETIONARY
"SVJ Budovatelu 679-681, Chodov",CZ,REAL ESTATE
PROTEM PROJEKT D.O.O.,RS,INDUSTRIALS
J.S.C. ENERPRED,RU,INDUSTRIALS
