CUSTOMER NAME,COUNTRY OF RISK,GICS_NAME_P
A.S. Watson (Europe) Holdings B.V.,NL,NOT RELEVANT
BERTSCHI ROMANIA SRL,RO,NOT RELEVANT
FSR RAILSERVICE SRL,RO,NOT RELEVANT
GROUP Promin,UA,CONSUMER STAPLES
RUMPOLD R ROKYCANY S R O,CZ,INDUSTRIALS
A.HARTRODT ROMANIA SRL,RO,INDUSTRIALS
DELIGHTED MINDS,RS,REAL ESTATE
Russky Product OAO,RU,CONSUMER STAPLES
SUBGROUP NorskenOil,RU,ENERGY
PHARMA FUTURA DOO NOVI SAD - U STE,RS,NOT RELEVANT
LLC STOCKLOGISTICTRADE,RU,REAL ESTATE
BANJA E KLLOKOTIT SH.P.K.,XK,HEALTH CARE
"TOV ""Alfa Servis N""",UA,CONSUMER STAPLES
TOV AFH Elita,UA,CONSUMER STAPLES
NOEKOM AD,MK,CONSUMER DISCRETIONARY
SzámHEAD Számítástechnikai és Szolg,HU,INFORMATION TECHNOLOGY
OMEGA D.O.O.,HR,NOT RELEVANT
Lehner electronics GmbH,AT,INDUSTRIALS
BURSAGRIROM SA,RO,NOT RELEVANT
N.T.Q.SH. PAJTIMI COMPANY,XK,NOT RELEVANT
JTI UK Finance Plc,GB,NOT RELEVANT
MITAS A.S.,CZ,NOT RELEVANT
"RLRE Eta Property, s.r.o.",CZ,REAL ESTATE
EURO-BUSINES 2006 SHPK,AL,MATERIALS
PETRODIAMOND JSC,RU,NOT RELEVANT
Betonyt Kereskedelmi és Építõipari,HU,INDUSTRIALS
PP Prodkompaniya,UA,REAL ESTATE
TOV AVTEK-FUD,UA,CONSUMER STAPLES
"TOV ""SKHIDNI RESURSY""",UA,CONSUMER DISCRETIONARY
Mezei Zoltán,HU,NOT RELEVANT
conova communications GmbH,AT,INFORMATION TECHNOLOGY
GROUP Ukroliya,UA,NOT RELEVANT
Nordkalk Oy ab,FI,NOT RELEVANT
PAT NORD,UA,NOT RELEVANT
"TOV ""OLLBERI""",UA,CONSUMER STAPLES
TEHNOTOP GROUP SRL,RO,INDUSTRIALS
URALPLIT OOO,RU,CONSUMER DISCRETIONARY
TEPIH-CENTAR D.O.O.,HR,NOT RELEVANT
KKZ OOO,RU,CONSUMER STAPLES
"AMF REECE CR, S.R.O.",CZ,INDUSTRIALS
GROUP Aquila,RO,CONSUMER STAPLES
YUEYK OOO,RU,INDUSTRIALS
DAL,RU,CONSUMER STAPLES
UVER s.r.o.,SK,FINANCIALS
N1.RU LLC,RU,CONSUMER DISCRETIONARY
TOB SAN PARK,UA,REAL ESTATE
SUBGROUP Novartis Ukraine,UA,HEALTH CARE
NewCo Cherry,DE,INFORMATION TECHNOLOGY
Robert Bosch Energy and Body System,DE,CONSUMER DISCRETIONARY
"TOV ""DK Ievroprodukt""",UA,CONSUMER DISCRETIONARY
S.A.S. CZ SPOL. S R.O.,CZ,CONSUMER DISCRETIONARY
JVC International (Europe),AT,NOT RELEVANT
Slovnaft Ceská republika s.r.o,CZ,NOT RELEVANT
Sopron Lehár Ferenc utca 63. Társas,HU,FINANCIALS
STROJIRNY CHEB A S,CZ,INDUSTRIALS
SAMKOM-LOGISTIKA OOO,RU,INDUSTRIALS
Pattantyús u. 1. Társasház,HU,FINANCIALS
"STOV ""Promin""",UA,CONSUMER STAPLES
Grünenfelder SA,CH,CONSUMER STAPLES
Romstal Imex Srl,RO,INDUSTRIALS
CGC FINANCE LLC,RU,NOT RELEVANT
ATLANTA-S OOO,RU,NOT RELEVANT
Subgroup INTER-FRANKSTAHL,AT,NOT RELEVANT
P.K. SOLVENT S.R.O.,CZ,CONSUMER STAPLES
Group Duferdofin,IT,MATERIALS
Szögedi Csirke Kft.,HU,CONSUMER STAPLES
LLC VKZ KIN,RU,CONSUMER STAPLES
"TERRA 2000, s.r.o.",SK,FINANCIALS
ABAÚJTEJ Tejfelvásárló-Feldolgozó é,HU,CONSUMER STAPLES
DEWACO DOO,RS,CONSUMER DISCRETIONARY
Full-Pack Kereskedelmi és Szolgálta,HU,CONSUMER DISCRETIONARY
TLC SELTERA JSC,RU,MATERIALS
JSC ASTROS RUS,RU,INDUSTRIALS
Jüllich Glas Holding Feldolgozó és,HU,INDUSTRIALS
ZAO TKC GAZ ATO,RU,CONSUMER DISCRETIONARY
HOCHTIEF AG,DE,INDUSTRIALS
VALARS AGRO LTD (CYPRUS),RU,CONSUMER STAPLES
EVROINVEST LIMITED LIABILITY,RU,ENERGY
Komárom Kelemen L. u. 10-12,HU,FINANCIALS
Kossuth Ferenc u. 46. Lakásfenntart,HU,FINANCIALS
Group CCC,DE,INDUSTRIALS
Pedrano Holding Építõ Korlátolt Fel,HU,REAL ESTATE
Bitunova Útfenntartó és Emulziógyár,HU,INDUSTRIALS
DEMAPRO s.r.o.,CZ,INDUSTRIALS
GROUP HYPERICI FARM,RO,CONSUMER STAPLES
PANA WINDOWS D.O.O.,HR,INDUSTRIALS
REHOR PAVEL,CZ,NOT RELEVANT
Táncsics Telep 4. Társasház,HU,FINANCIALS
GTS Central European Holding B.V.,CZ,INFORMATION TECHNOLOGY
CZECHTOLL S R O,CZ,INDUSTRIALS
OOO FORT,RU,HEALTH CARE
"FERROFON, s.r.o.",SK,NOT RELEVANT
MANEKS DOO NOVI SAD,RS,NOT RELEVANT
BUILDING CONSTRUCTION SHPK,AL,INDUSTRIALS
AO AGROKOMPLEKS RAZVIL'NOE,RU,CONSUMER STAPLES
TRANSMETALL OOO,RU,CONSUMER DISCRETIONARY
NEFTEGAZMASH OOO,RU,ENERGY
VITALGAS TECHNOLOGY DOO BEOGRAD,RS,NOT RELEVANT
MBM D.O.O.,HR,NOT RELEVANT
EUROAVIPO GRUP SA,RO,NOT RELEVANT
RK OBORONSNABSBYT RK OOO,RU,NOT RELEVANT
TECAP S.R.O.,CZ,NOT RELEVANT
MB DYNAMIC AUTO PREDUZECE ZA UVOZ I,RS,NOT RELEVANT
Marting s.r.o.,SK,NOT RELEVANT
Szabókert Kertészeti Kivitelezõ és,HU,NOT RELEVANT
GROUP The Texas A&M University,US,CONSUMER DISCRETIONARY
MAKEDONIA PALACE S.A.,GR,CONSUMER DISCRETIONARY
KHLIBNA BAZA N 76,UA,CONSUMER STAPLES
MOSKOVSKII FILIAL OOO UAZ,RU,CONSUMER DISCRETIONARY
GABRIELVIN Borászati Kft.,HU,NOT RELEVANT
RACK SYSTEM S R O,CZ,INDUSTRIALS
OOO MSK,RU,HEALTH CARE
MOZAIK FONDACIJA,BA,NOT RELEVANT
MARETEX LIMITED,RU,NOT RELEVANT
"""GRAND-ÁCS"" Ipari, Szolgáltató és K",HU,NOT RELEVANT
SIEMENS BUSSINES SERVICES OSTEUROPA,RU,NOT RELEVANT
PARTNER INZINJERING DOO BEOGRAD,RS,NOT RELEVANT
"GALVÁNPLASTIK Mûanyaggalvanizáló, K",HU,CONSUMER DISCRETIONARY
Rainbow Tours GCC,PL,CONSUMER DISCRETIONARY
GROUP PLANETA AVTO,RU,CONSUMER DISCRETIONARY
KOZAK ZDENEK,CZ,NOT RELEVANT
ReCons Vagyonkezelõ és Fejlesztõ Kf,HU,INDUSTRIALS
GAZSTROY OOO,RU,INDUSTRIALS
MIHAI E SOFIAN,RO,NOT RELEVANT
SAKHALIN ENERGY INVESTMENT COMPAN,GB,INDUSTRIALS
NOVA MOSILANA A S,IT,CONSUMER DISCRETIONARY
ABAG AG,AT,MATERIALS
TRANSAS NEW BUILDING LTD,RU,INDUSTRIALS
"Patologia, s.r.o.",SK,HEALTH CARE
SHANS TREID,RU,CONSUMER STAPLES
NEKSUSSISTEMS OOO,RU,ENERGY
Telekom Armenia OJSC,AM,COMMUNICATIONS
OLIMP-TREYD,RU,ENERGY
"""SIKÉR"" Malomipari Zrt.",HU,CONSUMER STAPLES
ASOCIATIA ROMANA ANTI SIDA,RO,CONSUMER DISCRETIONARY
"Szeged, Retek u. 2. sz. Társasház",HU,REAL ESTATE
BUMEJ DOO  BUGOJNO,BA,NOT RELEVANT
TEMECO,RO,NOT RELEVANT
"UNIMEDION, s.r.o.",SK,NOT RELEVANT
"Kazik Pavel, MUDr.",SK,NOT RELEVANT
HUMAC,DK,CONSUMER DISCRETIONARY
SYNERGETIC LLC,RU,CONSUMER STAPLES
Baumühlner Karl,AT,NOT RELEVANT
"AWL, s.r.o.",SK,UTILITIES
WELLYEN A S,CZ,REAL ESTATE
PK POLIMER OOO,RU,INDUSTRIALS
KRONOSPAN OOO,RU,MATERIALS
GROUP Compulink,RU,INFORMATION TECHNOLOGY
DUNAREA S.A.,RO,INDUSTRIALS
TAKEDA GMBH,DE,INDUSTRIALS
URALREGIONSTROI-EKATERINBURG OOO,RU,INDUSTRIALS
SIBPROM OOO,RU,ENERGY
"Telemach Tabor, sirokopasovne",SI,CONSUMER DISCRETIONARY
BIZ SOLUTIONS,RO,MATERIALS
ABB ltd.,CH,INDUSTRIALS
"TZOV""RILYA UKRAINA""",UA,INDUSTRIALS
TERRAMED OOO,RU,HEALTH CARE
"RUP PROIZVODSTVENNOE OB""EDINENIE BE",BY,ENERGY
TRANSSVYAZ' OOO,RU,CONSUMER DISCRETIONARY
STAVPTICETORG OOO,RU,CONSUMER STAPLES
INTERKAPITAL RIZIK D.O.O.,HR,INDUSTRIALS
PRESS SEVER OOO,RU,INDUSTRIALS
JULIA-S.A SHPK,AL,CONSUMER STAPLES
VEKTOR-BEST-AMUR ZAO,RU,HEALTH CARE
OAO ZOLOTYE LUGA,RU,CONSUMER STAPLES
"TOV ""Vendino-zakhid""",UA,CONSUMER STAPLES
PROSPERITA HOLDING A S,CZ,INDUSTRIALS
MICROSOFT BIH DOO,BA,INFORMATION TECHNOLOGY
SUNCOKRET DOO SIROKI BRIJEG,BA,CONSUMER STAPLES
SC ECO TRADING SRL,RO,NOT RELEVANT
SUBGROUP TEPLARNA OTROKOVICE CONSOL,CZ,UTILITIES
"ULJANIK BRODOGRADILISTE, D.D. U STE",HR,INDUSTRIALS
"Kecskemét, Reile Géza u. 2-4. sz. T",HU,REAL ESTATE
Sandvik Aktiebolag,SE,INDUSTRIALS
SUNAL D.O.O. NOVI SAD,RS,MATERIALS
L.T.D. NISSA Distribution,RU,INDUSTRIALS
HIDROMONT INDUSTRIJSKA MONTAZA D.O.,HR,INDUSTRIALS
PIDHAIETS'KE RAIONNE KSLP'PIDH,UA,MATERIALS
Subgroup IHC Health Services Inc.,US,HEALTH CARE
Russmedia Ingatlanhasznosító Kft.,HU,REAL ESTATE
Top Systems Ltd,RU,INFORMATION TECHNOLOGY
PET STAR HOLDING SRL,RO,MATERIALS
MAVI MARIBOR D.O.O.,SI,INDUSTRIALS
Infracis Holland B.V.,RU,INDUSTRIALS
PINTA-REGION OOO,RU,CONSUMER STAPLES
ALBACOMP RI Rendszerintegrációs Kor,HU,NOT RELEVANT
Subgroup Solaris Bus,PL,INDUSTRIALS
SARL ETT VOSTOK,RU,INDUSTRIALS
"SVJ Pod Zamboskou 1036, Vsetin",CZ,REAL ESTATE
MVJ GmbH & Co KG,AT,FINANCIALS
DSD Pharma s.r.o.,SK,CONSUMER STAPLES
ENERGOGROUP DOO BEOGRAD,RS,INDUSTRIALS
VEKTOR OOO,RU,CONSUMER DISCRETIONARY
THALES UK LIMITED,GB,INDUSTRIALS
STEP DD SARAJEVO,BA,INDUSTRIALS
"CASCA, spol. s r.o.",SK,CONSUMER DISCRETIONARY
"Zdravie.sk, s.r.o.",SK,INDUSTRIALS
HUGE CONSTRUCT,RO,INDUSTRIALS
Institut Hartheim gemeinnützigeBetr,AT,HEALTH CARE
Schmitz Cargobull AG.,DE,CONSUMER DISCRETIONARY
PREMIUM LIMITED LIABILITY COMPANY,RU,CONSUMER STAPLES
ALCORTECH ENGINEERING SRL,RO,INDUSTRIALS
Emeren New Energy Sarl.,LU,INDUSTRIALS
EURO IZGRADNJA DOO KISELJAK,BA,INDUSTRIALS
DIRIGERE servis s.r.o.,CZ,INDUSTRIALS
Milan Detko - GEO-ferum,SK,CONSUMER DISCRETIONARY
FONDA DOO BEOGRAD,RS,CONSUMER DISCRETIONARY
FEMIC CO DOO BEOGRAD-SURCIN,RS,CONSUMER STAPLES
HEIN ROMANIA,RO,NOT RELEVANT
FCC Freistadt Abfall Service GmbH,AT,INDUSTRIALS
ASOC CRESCATORILOR DE BOVINE OTESAN,RO,NOT RELEVANT
EVROPA LIJEK PHARMA DOO SARAJEVO,BA,HEALTH CARE
Group Holzindustrie Pfeifer,AT,MATERIALS
ROMTEC EUROPA SRL,RO,MATERIALS
"Perfect Point, a.s.",CZ,HEALTH CARE
PERPETUUS COM SRL,RO,CONSUMER STAPLES
POLEMA JSC,RU,MATERIALS
Eurogarden Hungary Kereskedelmi és,HU,INDUSTRIALS
AVTODOR,RU,INDUSTRIALS
LARGO SRL,RO,CONSUMER STAPLES
LSG GROUP GMBH,AT,INDUSTRIALS
synlab SUISSE SA,CH,HEALTH CARE
CE Energy s.r.o.,SK,UTILITIES
Makó Csanád vezér tér 3. társasház,HU,REAL ESTATE
ALKOM D.O.O.,HR,INDUSTRIALS
Group Interfer,DE,INDUSTRIALS
Swietelsky-Slovakia spol. s r.o.,SK,INDUSTRIALS
"ADAUS, s. r. o.",SK,INDUSTRIALS
JADRAN TVORNICA CARAPA D.D.,HR,CONSUMER DISCRETIONARY
SVJ Zilinska 1307,CZ,REAL ESTATE
HAZAI ÉPÍTÕGÉP TÁRSULÁS Szolgáltató,HU,INDUSTRIALS
STROITEL'NAYA KOMPANIYA RESURS OO,RU,CONSUMER STAPLES
Palme-Duschabtrennungen Gesellschaf,AT,INDUSTRIALS
CHEMILINE GROUP LLC,RU,MATERIALS
Group Annabella,RO,CONSUMER STAPLES
YARD A S,CZ,REAL ESTATE
DETSKIE PRODUKTY OOO,RU,CONSUMER STAPLES
PAMBI-TABAK D.O.O.,HR,REAL ESTATE
GROUP DIADIS IMPEX,RO,CONSUMER STAPLES
ROTOPLAST D.D.,HR,MATERIALS
OOO SIBIR-VK,RU,NOT RELEVANT
MALTEX SRL,RO,REAL ESTATE
NATURAL MEAT ÉLELMISZERIPARI-FELDOL,HU,CONSUMER STAPLES
Pavol Christov,SK,FINANCIALS
"Bohuslav Vladimir, Ing.",SK,REAL ESTATE
BD Mezirka 16,CZ,REAL ESTATE
Aviation Flight Center GmbH,AT,INDUSTRIALS
REALIA INVEST SPOL S R O,CZ,REAL ESTATE
Gerald Metals Sarl,CH,INDUSTRIALS
NA BELIDLE E B S R O,CZ,REAL ESTATE
INTEN GROUP S R O,CZ,INDUSTRIALS
Group EDP,PT,UTILITIES
STOV Mriya,UA,CONSUMER STAPLES
BEPOS DIGITAL D O O,HR,NOT RELEVANT
VERTICAL GROUP SPEDITION SRL,RO,INDUSTRIALS
Group Wieland,DE,MATERIALS
Digital logistics LLC,RU,INDUSTRIALS
TERMOBIL THERMO KING D. O. O.,HR,CONSUMER DISCRETIONARY
FORTUM OAO,RU,UTILITIES
URALO-SIBIRSKAYA TEPLOEYNERGETICH,RU,UTILITIES
Group Thales,FR,INDUSTRIALS
GASTRO TABACO A S,CZ,CONSUMER STAPLES
ARCONIC KOFEM MILL PRODUCTS HUNGARY,HU,INDUSTRIALS
"Lebenshilfe Tirol, gemeinnützige Ge",AT,HEALTH CARE
PGE ENERGETYKA KOLEJOWA HOLDING Sp.,PL,UTILITIES
"SV Revolucni 100, Straz p. R.",CZ,REAL ESTATE
"OBCHODNÍ SPOLECNOST KREDIT, SPOL. S",CZ,INDUSTRIALS
SV Ahepjukova 25,CZ,REAL ESTATE
VIZA TRANS DOO POSUSJE,BA,INDUSTRIALS
Acridin Immobilienleasing GmbH,DE,FINANCIALS
GLOBAL BLUE D.O.O.,RS,FINANCIALS
"FK DAC 1904, a.s.",SK,COMMUNICATIONS
LACHMAN STYL S R O,CZ,INDUSTRIALS
Mitsubishi Heavy Industries,JP,INDUSTRIALS
GROUP Kupyanskyy Mkk,UA,CONSUMER STAPLES
"ÖtHétHáz Ingatlanforgalmazó, Kezelõ",HU,REAL ESTATE
RMT GRUPA D.O.O.,HR,INDUSTRIALS
GERMAN ALBANIAN LOGISTICS AGENCY,AL,INDUSTRIALS
INTERCONEX MOBIL A S,CZ,CONSUMER STAPLES
MDC POWER GESELLSCHAFT MIT BESCHRAN,DE,INDUSTRIALS
SV domu c.p. 1198,CZ,REAL ESTATE
MEC D.O.O.,HR,MATERIALS
BUDNIK TOMAS,CZ,NOT RELEVANT
LIMITED LIABILITY COMPANY GSE VOLGO,RU,ENERGY
Mercedes-Benz AG,DE,CONSUMER DISCRETIONARY
STATKRAFT RENEWABLES ALBANIA SHPK,AL,UTILITIES
Quehenberger Logistics Rus AO,RU,INDUSTRIALS
ROBOT GENERAL TRADING CO DOO SARAJE,BA,CONSUMER STAPLES
LT Food Europe B.V.,NL,CONSUMER STAPLES
Group Strnad Jaroslav,CZ,INDUSTRIALS
"SVJ Zabrezska 250,Hanusovice",CZ,REAL ESTATE
LLC Koncepciya Vkusa,RU,CONSUMER STAPLES
GROUP RICH,RU,CONSUMER STAPLES
CLOUDSENSE D.O.O. U LIKVIDACIJI,HR,INFORMATION TECHNOLOGY
Segezha Group PJSC,RU,MATERIALS
ALCON Ltd,RU,INDUSTRIALS
GROUP WERMER,AT,CONSUMER STAPLES
TAWESCO AUTOMOTIVE S R O,CZ,CONSUMER DISCRETIONARY
Cargolog Hungary Szállítmányozási é,HU,INDUSTRIALS
CEMDEST S R O,CZ,MATERIALS
DEKRA Slovensko s.r.o.,SK,INDUSTRIALS
Volksschulgemeinde Königsbrunn,AT,CONSUMER DISCRETIONARY
Den Hartogh Trucking Food Korlátolt,HU,INDUSTRIALS
JSC Polisorb,RU,HEALTH CARE
ZODIAC SEATS TUNISIE SARL,TN,INDUSTRIALS
AMEROPA TRANSYLVANIA HOLDING SRL,RO,CONSUMER STAPLES
INFIGO IS D.O.O.,HR,INFORMATION TECHNOLOGY
OOO VIDEOTRON,RU,INDUSTRIALS
Group Mitsubishi Chemical,JP,MATERIALS
GROUP REFARMA,RU,HEALTH CARE
Open Fiber S.p.A.,BE,COMMUNICATIONS
GROUP Berta,UA,CONSUMER STAPLES
Plasticoncept s.r.o.,SK,NOT RELEVANT
PPS-MAJUR D.O.O.,HR,MATERIALS
Drau Wohnbau Gemeinnützige Wohnungs,AT,REAL ESTATE
Stredna odborna skola polygraficka,SK,NOT RELEVANT
GROUP Rb-Treidynh,UA,CONSUMER DISCRETIONARY
USSC Ltd,RU,INFORMATION TECHNOLOGY
Subgroup Pepco Group Limited,PL,CONSUMER DISCRETIONARY
"MIKROTECH, s.r.o.",SK,INDUSTRIALS
UNIVERZAL DOO NOVI SAD,RS,CONSUMER DISCRETIONARY
RISC Software GmbH,AT,INFORMATION TECHNOLOGY
R GROUP LOGISTIC JSC,RU,INDUSTRIALS
FRAGMAT S DOO,RS,INDUSTRIALS
AUTO DIETZ D.O.O.,HR,HEALTH CARE
AF Trading s.r.o.,CZ,CONSUMER STAPLES
Polst Gesellschaft m.b.H.,AT,INDUSTRIALS
GROUP ALJIC,BA,CONSUMER DISCRETIONARY
Group Adomo Beteiligungs GmbH,AT,REAL ESTATE
Kontron Austria GmbH,AT,INDUSTRIALS
BOL'SHAYA ZEMLYA OOO,RU,INDUSTRIALS
LTD INTERFOOD,RU,CONSUMER STAPLES
GROUP AGROTANDEM-2012,UA,CONSUMER STAPLES
 LES-MMS trgovska druzba d.o.o.,SI,CONSUMER DISCRETIONARY
Pagát Rental Targonca Kft.,HU,INDUSTRIALS
Mota Engil Engenharia,PT,INDUSTRIALS
TD AVTOGAZREGION OOO,RU,CONSUMER DISCRETIONARY
Group Swietelsky,AT,INDUSTRIALS
Glones s. r. o.,SK,CONSUMER DISCRETIONARY
Group Loomis,US,INDUSTRIALS
GROUP SHIN HUENG PRECISION CO,KR,INFORMATION TECHNOLOGY
SUBGROUP Pek-Snack,HU,CONSUMER STAPLES
BRACA JOVIC DOO BANJA LUKA,BA,CONSUMER STAPLES
SV domu Zapy 235,CZ,REAL ESTATE
VINNYTSKE KARIEROUPRAVLINNIA,UA,MATERIALS
SAVIC DOO SMEDEREVSKA PALANKA,RS,MATERIALS
RADUN INZENJERING DOO,RS,INDUSTRIALS
TAMSIRA CXV SERVICE SRL,RO,INDUSTRIALS
ImmoCare Maier GmbH,AT,REAL ESTATE
GROUP Yunifud,UA,CONSUMER DISCRETIONARY
BERLINGO LLC,RU,CONSUMER DISCRETIONARY
NOVYI DOM OOO,RU,MATERIALS
JP MEDJUNAROD AERODROM SARAJEVO DOO,BA,INDUSTRIALS
LLC SUNSAND TRAVEL,RU,CONSUMER DISCRETIONARY
INECO ELECTRIC SRL,RO,INDUSTRIALS
teamative a. s.,SK,INFORMATION TECHNOLOGY
LTC DOO BEOGRAD,RS,INDUSTRIALS
Bulátkó László,HU,NOT RELEVANT
NICOLL CURTIN DOO,RS,INDUSTRIALS
MOBIL'NAYA OBLAST' OOO,RU,CONSUMER DISCRETIONARY
A&D SIBCOM SRL,RO,INDUSTRIALS
Group Vaillant,DE,INDUSTRIALS
Klinika Yes Visage a.s.,CZ,HEALTH CARE
Subgroup EGLO Production,CN,CONSUMER DISCRETIONARY
AGROCONCEPT IMPEX SRL,RO,INDUSTRIALS
Befesa S.A.,LU,MATERIALS
"ALEF Distribution SK, s. r. o.",SK,INFORMATION TECHNOLOGY
SVJ v dome c.p.1255 v Holesove,CZ,REAL ESTATE
PROJEKT VINDOBONA S R O,CZ,REAL ESTATE
EVROLOGISTIK,RU,CONSUMER STAPLES
OOO EKSPOTREID,RU,CONSUMER DISCRETIONARY
KLIMA M DOO BEOGRAD,RS,INDUSTRIALS
SUBGROUP JHV PROPERTY ENGINEERING C,CZ,CONSUMER DISCRETIONARY
Leopard 50 s.r.o.,CZ,CONSUMER DISCRETIONARY
MCFALL DEVELOPMENT S.R.O.,CZ,REAL ESTATE
SILGAN INTERNATIONAL,NL,MATERIALS
ASTRONIUM LLC,RU,INFORMATION TECHNOLOGY
"Wertheim T, s.r.o.",SK,INDUSTRIALS
NOACK & CO SOUTH EAST DOO NOVI SAD,RS,CONSUMER STAPLES
Group Damate,RU,CONSUMER STAPLES
STROISERVIS OOO,RU,INDUSTRIALS
NIMK DOO SARAJEVO,BA,CONSUMER DISCRETIONARY
TRITON ELECTRONIC SYSTEMS LTD.,RU,HEALTH CARE
SERBOTECNICA DOO ZIROVNICA,RS,INDUSTRIALS
BD Sylva,CZ,REAL ESTATE
SV domu 701 Ostrava,CZ,REAL ESTATE
ROVA-SK a. s.,SK,INDUSTRIALS
SVJ Horni Lomna 127,CZ,REAL ESTATE
Futureal Holding B.V.,NL,REAL ESTATE
2NP PRODUCTION S.R.O.,CZ,COMMUNICATIONS
BENU Péterfia Úti Gyógyszertár Kft.,HU,CONSUMER STAPLES
Lerni s. r. o.,SK,CONSUMER DISCRETIONARY
Streif GmbH,DE,INDUSTRIALS
"TOV ""Ukrpol - Vydavnychyi Dim""",UA,MATERIALS
Association with Limited Liabilit,RU,INDUSTRIALS
Flow Holding Korlátolt Felelõsségû,HU,CONSUMER DISCRETIONARY
SEMIN MICHAL,CZ,NOT RELEVANT
GROUP EURO ASFALT,BA,INDUSTRIALS
MAINSTREAM DOO BEOGRAD,RS,INFORMATION TECHNOLOGY
"TOV ""Agro Prestyzh""",UA,MATERIALS
TEXIMP D.O.O.,HR,INDUSTRIALS
PETROSTAV SK s.r.o.,SK,INDUSTRIALS
CT-Automotive GmbH,AT,CONSUMER DISCRETIONARY
SLUNECNA FARMA S R O,CZ,CONSUMER STAPLES
MAR ANDESIT SRL,RO,MATERIALS
ACCOLADE HOLDING A S,CZ,REAL ESTATE
Pink Sparrow GmbH,AT,CONSUMER DISCRETIONARY
"Mudrochova Anita, Ing. arch.",SK,CONSUMER DISCRETIONARY
"""Landforst"" Obersteirische Molkerei",AT,CONSUMER STAPLES
GROUP STARITSKY LEVITSKY,UA,CONSUMER STAPLES
MTH Logistik GmbH,AT,CONSUMER DISCRETIONARY
Illés Tamás,HU,INDUSTRIALS
Mondi Finance plc,GB,MATERIALS
Bohunsky Dusan,SK,INDUSTRIALS
GROUP Vrozhaine,UA,CONSUMER STAPLES
SCOTT Sports SA,CH,CONSUMER DISCRETIONARY
BOMARK D.O.O.,HR,MATERIALS
MESSER TECHNOGAS S R O,CZ,INDUSTRIALS
ENETIQA ENERGY S R O,CZ,UTILITIES
NIPEX  DOO TUZLA,BA,CONSUMER DISCRETIONARY
"Lucron Group, a. s.",SK,REAL ESTATE
NIKA LOGISTICS A S,CZ,INDUSTRIALS
SMART ENERGY PLUS S.R.L,RO,CONSUMER STAPLES
ROUTIN,FR,CONSUMER STAPLES
COLORADO MIDCO 2 LIMITED,FR,CONSUMER DISCRETIONARY
JRPV RUSFILTER LLC,RU,CONSUMER DISCRETIONARY
LA ISLA KERESKEDELMI ÉS SZOLGÁLTATÓ,HU,NOT RELEVANT
AKTON D.O.O.,SI,COMMUNICATIONS
PIRAMIDA 72 DOO,RS,CONSUMER DISCRETIONARY
Mar GMBH,AT,MATERIALS
EOL SOFTWARE D.O.O.,HR,INDUSTRIALS
REIF BAUUNTERNEHMUNG GMBH&CO KG,DE,NOT RELEVANT
"EGE-TRADING,S.R.O",CZ,NOT RELEVANT
Raiffeisen Hazai Kötvény Alap,HU,NOT RELEVANT
R-Trading Limited,GB,NOT RELEVANT
SEVERNAYA VYSOTA CO LTD.,RU,NOT RELEVANT
UDRUGA ZA RAZVOJ I ORGANIZ.LOKAL.ZA,HR,NOT RELEVANT
MOLDAVKABEL Societate pe actiuni,MD,INDUSTRIALS
MC KVARTSTROY LLC,RU,FINANCIALS
GLASS TREID OOO,RU,MATERIALS
"Austrotherm, s. r. o.",SK,INDUSTRIALS
Dubai Group LLC,AE,NOT RELEVANT
BRAVARIJA I METALNA GALANTERIJA,HR,NOT RELEVANT
Brenntag France Holding SAS,HU,NOT RELEVANT
VASILIC NENAD SLAVONSKI BROD,HR,NOT RELEVANT
ALEXION,RO,CONSUMER DISCRETIONARY
Group SS&C,US,INFORMATION TECHNOLOGY
EVRAZ SECURITIES SA,LU,NOT RELEVANT
ECHO 2004 Kereskedelmi és Ingatlanf,HU,NOT RELEVANT
"KLS, D.D.",SI,NOT RELEVANT
"Pécs, Váci Mihály u. 20-22. Társash",HU,FINANCIALS
ALIS PROD IMPEX SRL,RO,CONSUMER STAPLES
LIMITED LIABILITY COMPANY TRADE MAR,UA,CONSUMER STAPLES
"ECOS YACHTING,PUTNICKA AGENCIJA D.O",HR,CONSUMER DISCRETIONARY
J & M Handels GmbH,AT,NOT RELEVANT
Alföld Bérlet Bérbeadó és Szolgálta,HU,FINANCIALS
CITY PROJECT DEVELOPMENT A.S. V LIK,CZ,NOT RELEVANT
ZAPSIBKHLEB-ISET OOO,RU,CONSUMER STAPLES
GROUP AT CONSULTING,RU,INFORMATION TECHNOLOGY
KKU KTZ OOO,RU,INDUSTRIALS
RNP ROMSILVA DIRECTIA BACAU,RO,MATERIALS
"TOV ""Lukas Al'ternatyva""",UA,CONSUMER STAPLES
TRUCK SAVARIA DEBRECEN Jármûforgalm,HU,CONSUMER DISCRETIONARY
Madal Bal s.r.o.,SK,CONSUMER DISCRETIONARY
TCM NORD SRL,RO,INDUSTRIALS
FIRM TMA LLC,UA,INDUSTRIALS
RUPESKY Autószervíz Kft.,HU,CONSUMER DISCRETIONARY
TRIBUNE VENTURES HUNGARY Közlekedés,HU,INDUSTRIALS
Tobaner Vas-Szerelvény Kereskedelmi,HU,MATERIALS
PTF PUARO OOO,RU,CONSUMER STAPLES
TzOV Nash Krai-LTs,UA,REAL ESTATE
SV Varenska 2942,CZ,REAL ESTATE
