industry,separate_ending,frequency
INFORMATION TECHNOLOGY,LUKA,40
INFORMATION TECHNOLOGY,MOSTAR,32
INFORMATION TECHNOLOGY,SARAJEVO,164
INFORMATION TECHNOLOGY,TUZLA,12
MATERIALS,<NONE>,328
MATERIALS,BIJELJINA,20
MATERIALS,BRCKO,12
MATERIALS,BRIJEG,16
MATERIALS,CAZIN,28
MATERIALS,DERVENTA,16
MATERIALS,DOBOJ,16
MATERIALS,DOO,104
MATERIALS,GRACANICA,44
MATERIALS,GRADACAC,20
MATERIALS,KAKANJ,16
MATERIALS,KONJIC,24
MATERIALS,KRESEVO,16
MATERIALS,LAKTASI,28
MATERIALS,LJUBUSKI,12
MATERIALS,LUKA,56
MATERIALS,LUKAVAC,12
MATERIALS,MOSTAR,24
MATERIALS,PETROVAC,12
MATERIALS,POSUSJE,16
MATERIALS,SARAJEVO,104
MATERIALS,TESANJ,20
MATERIALS,TUZLA,20
MATERIALS,VAROS,12
MATERIALS,VISOKO,16
MATERIALS,ZENICA,20
MATERIALS,ZEPCE,20
NOT RELEVANT,<NONE>,676
NOT RELEVANT,BANJALUKA,16
NOT RELEVANT,BI,12
NOT RELEVANT,BIH,24
NOT RELEVANT,BIHAC,28
NOT RELEVANT,BIJELJINA,20
NOT RELEVANT,BRCKO,36
NOT RELEVANT,BRIJEG,52
NOT RELEVANT,BROD,12
NOT RELEVANT,CAZIN,16
NOT RELEVANT,CITLUK,20
NOT RELEVANT,DOO,76
NOT RELEVANT,GRACANICA,12
NOT RELEVANT,GRUDE,16
NOT RELEVANT,KAKANJ,12
NOT RELEVANT,KONJIC,12
NOT RELEVANT,KRESEVO,12
NOT RELEVANT,LAKTASI,12
NOT RELEVANT,LJUBUSKI,20
NOT RELEVANT,LUKA,56
NOT RELEVANT,MOST,20
NOT RELEVANT,MOSTAR,68
NOT RELEVANT,ORASJE,16
NOT RELEVANT,POSUSJE,12
NOT RELEVANT,PRIJEDOR,28
NOT RELEVANT,S,12
NOT RELEVANT,SAR,24
NOT RELEVANT,SARA,16
NOT RELEVANT,SARAJE,12
NOT RELEVANT,SARAJEVO,216
NOT RELEVANT,SREBRENIK,12
NOT RELEVANT,TUZLA,40
NOT RELEVANT,UDRUZENJE,24
NOT RELEVANT,ZENICA,12
NOT RELEVANT,doo,16
REAL ESTATE,<NONE>,108
REAL ESTATE,BIHAC,12
REAL ESTATE,DOO,20
REAL ESTATE,LUKA,12
REAL ESTATE,MOSTAR,16
REAL ESTATE,SARAJEVO,120
UTILITIES,<NONE>,300
UTILITIES,DOO,16
UTILITIES,SARAJEVO,24
